index,type,sourceName,sourceVersion,unit,creationDate,datetime,endDate,hr,device
2,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 00:00:00,2022-12-15 01:00:00+01:00,56.0,
3,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 00:00:00,2022-12-15 01:00:00+01:00,76.0,
4,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 00:00:00,2022-12-15 01:00:00+01:00,88.0,
5,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 00:00:00,2022-12-15 01:00:00+01:00,88.0,
6,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 01:00:00,2022-12-15 02:00:00+01:00,48.0,
7,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 01:00:00,2022-12-15 02:00:00+01:00,68.0,
8,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 02:00:00,2022-12-15 03:00:00+01:00,51.0,
9,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 02:00:00,2022-12-15 03:00:00+01:00,69.0,
10,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 03:00:00,2022-12-15 04:00:00+01:00,44.0,
11,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 03:00:00,2022-12-15 04:00:00+01:00,68.0,
12,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 04:00:00,2022-12-15 05:00:00+01:00,53.0,
13,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 04:00:00,2022-12-15 05:00:00+01:00,66.0,
14,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 05:00:00,2022-12-15 06:00:00+01:00,44.0,
15,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 05:00:00,2022-12-15 06:00:00+01:00,67.0,
16,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 06:00:00,2022-12-15 07:00:00+01:00,50.0,
17,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 06:00:00,2022-12-15 07:00:00+01:00,75.0,
18,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 07:00:00,2022-12-15 08:00:00+01:00,49.0,
19,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 07:00:00,2022-12-15 08:00:00+01:00,80.0,
20,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 08:00:00,2022-12-15 09:00:00+01:00,65.0,
21,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 08:00:00,2022-12-15 09:00:00+01:00,119.0,
22,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 09:00:00,2022-12-15 10:00:00+01:00,65.0,
23,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 09:00:00,2022-12-15 10:00:00+01:00,107.0,
24,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 10:00:00,2022-12-15 11:00:00+01:00,62.0,
25,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 10:00:00,2022-12-15 11:00:00+01:00,99.0,
26,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 11:00:00,2022-12-15 12:00:00+01:00,58.0,
27,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 11:00:00,2022-12-15 12:00:00+01:00,96.0,
28,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 12:00:00,2022-12-15 13:00:00+01:00,58.0,
29,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 12:00:00,2022-12-15 13:00:00+01:00,98.0,
30,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 13:00:00,2022-12-15 14:00:00+01:00,56.0,
31,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 13:00:00,2022-12-15 14:00:00+01:00,87.0,
32,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 14:00:00,2022-12-15 15:00:00+01:00,62.0,
33,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 14:00:00,2022-12-15 15:00:00+01:00,133.0,
34,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 15:00:00,2022-12-15 16:00:00+01:00,78.0,
35,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 15:00:00,2022-12-15 16:00:00+01:00,107.0,
36,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 16:00:00,2022-12-15 17:00:00+01:00,73.0,
37,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 16:00:00,2022-12-15 17:00:00+01:00,108.0,
38,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 17:00:00,2022-12-15 18:00:00+01:00,67.0,
39,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 17:00:00,2022-12-15 18:00:00+01:00,116.0,
40,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 18:00:00,2022-12-15 19:00:00+01:00,63.0,
41,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 18:00:00,2022-12-15 19:00:00+01:00,111.0,
42,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 19:00:00,2022-12-15 20:00:00+01:00,66.0,
43,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 19:00:00,2022-12-15 20:00:00+01:00,130.0,
44,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 20:00:00,2022-12-15 21:00:00+01:00,63.0,
45,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 20:00:00,2022-12-15 21:00:00+01:00,106.0,
46,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 21:00:00,2022-12-15 22:00:00+01:00,58.0,
47,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 21:00:00,2022-12-15 22:00:00+01:00,100.0,
48,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 22:00:00,2022-12-15 23:00:00+01:00,60.0,
49,HeartRate,Mi Fitness,2,count/min,2022-12-15 22:24:46+01:00,2022-12-15 22:00:00,2022-12-15 23:00:00+01:00,69.0,
50,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,62.0,
51,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,74.0,
52,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,60.0,
53,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,71.0,
54,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 02:00:00,2022-12-16 03:00:00+01:00,59.0,
55,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 02:00:00,2022-12-16 03:00:00+01:00,72.0,
56,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 03:00:00,2022-12-16 04:00:00+01:00,57.0,
57,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 03:00:00,2022-12-16 04:00:00+01:00,77.0,
58,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,55.0,
59,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,66.0,
60,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,83.0,
61,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,84.0,
62,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 05:00:00,2022-12-16 06:00:00+01:00,54.0,
63,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 05:00:00,2022-12-16 06:00:00+01:00,73.0,
